nflId,season,teamId,displayName,firstName,middleName,lastName,suffix,status,positionGroup,position,esbId,gsisId,homeTown,collegeId,collegeName,height,weight,headshot_url,profile_url,birthDate,jerseyNumber
202,2009,2510,Keenan Burton,Keenan,Edward,Burton,,RES,WR,WR,BUR769332,00-0026268,Louisville, KY,1837,Kentucky,6-0,206,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUR769332.png,http://www.nfl.com/player/keenanburton/202/profile,1984-10-29,14
202,2010,2510,Keenan Burton,Keenan,Edward,Burton,,CUT,WR,WR,BUR769332,00-0026268,Louisville, KY,1837,Kentucky,6-0,206,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUR769332.png,http://www.nfl.com/player/keenanburton/202/profile,1984-10-29,14
204,2010,3300,Ezra Butler,Ezra,,Butler,,DEV,LB,LB,BUT192185,00-0025978,Calabasas, CA,4844,Nevada,6-2,235,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUT192185.png,http://www.nfl.com/player/ezrabutler/204/profile,1984-11-20,
204,2011,3300,Ezra Butler,Ezra,,Butler,,RES,LB,LB,BUT192185,00-0025978,Calabasas, CA,4844,Nevada,6-2,248,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUT192185.png,http://www.nfl.com/player/ezrabutler/204/profile,1984-11-20,62
204,2012,3300,Ezra Butler,Ezra,,Butler,,CUT,LB,LB,BUT192185,00-0025978,Calabasas, CA,4844,Nevada,6-2,248,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUT192185.png,http://www.nfl.com/player/ezrabutler/204/profile,1984-11-20,55
206,2008,920,Andre Caldwell,Andre,,Caldwell,,ACT,WR,WR,CAL102494,00-0026237,Tampa, FL,5812,Florida,6-0,204,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAL102494.png,http://www.nfl.com/player/andrecaldwell/206/profile,1985-04-15,87
206,2009,920,Andre Caldwell,Andre,,Caldwell,,ACT,WR,WR,CAL102494,00-0026237,Tampa, FL,5812,Florida,6-0,200,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAL102494.png,http://www.nfl.com/player/andrecaldwell/206/profile,1985-04-15,87
206,2010,920,Andre Caldwell,Andre,,Caldwell,,ACT,WR,WR,CAL102494,00-0026237,Tampa, FL,5812,Florida,6-0,195,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAL102494.png,http://www.nfl.com/player/andrecaldwell/206/profile,1985-04-15,87
206,2011,920,Andre Caldwell,Andre,,Caldwell,,RES,WR,WR,CAL102494,00-0026237,Tampa, FL,5812,Florida,6-0,190,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAL102494.png,http://www.nfl.com/player/andrecaldwell/206/profile,1985-04-15,87
206,2012,1400,Andre Caldwell,Andre,,Caldwell,,ACT,WR,WR,CAL102494,00-0026237,Tampa, FL,5812,Florida,6-0,190,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAL102494.png,http://www.nfl.com/player/andrecaldwell/206/profile,1985-04-15,17
206,2013,1400,Andre Caldwell,Andre,,Caldwell,,ACT,WR,WR,CAL102494,00-0026237,Tampa, FL,5812,Florida,6-0,200,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAL102494.png,http://www.nfl.com/player/andrecaldwell/206/profile,1985-04-15,12
206,2014,1400,Andre Caldwell,Andre,,Caldwell,,ACT,WR,WR,CAL102494,00-0026237,Tampa, FL,5812,Florida,6-0,200,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAL102494.png,http://www.nfl.com/player/andrecaldwell/206/profile,1985-04-15,12
206,2015,1400,Andre Caldwell,Andre,,Caldwell,,ACT,WR,WR,CAL102494,00-0026237,Tampa, FL,5812,Florida,6-0,200,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAL102494.png,http://www.nfl.com/player/andrecaldwell/206/profile,1985-04-15,12
206,2016,1540,Andre Caldwell,Andre,,Caldwell,,CUT,WR,WR,CAL102494,00-0026237,Tampa, FL,5812,Florida,6-0,200,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAL102494.png,http://www.nfl.com/player/andrecaldwell/206/profile,1985-04-15,17
208,2008,4400,Antoine Cason,Antoine,Brandon,Cason,,ACT,DB,CB,CAS362242,00-0026167,Long Beach, CA,4832,Arizona,6-0,190,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAS362242.png,http://www.nfl.com/player/antoinecason/208/profile,1986-07-09,20
208,2009,4400,Antoine Cason,Antoine,Brandon,Cason,,ACT,DB,CB,CAS362242,00-0026167,Long Beach, CA,4832,Arizona,6-0,190,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAS362242.png,http://www.nfl.com/player/antoinecason/208/profile,1986-07-09,20
208,2010,4400,Antoine Cason,Antoine,Brandon,Cason,,ACT,DB,CB,CAS362242,00-0026167,Long Beach, CA,4832,Arizona,6-1,195,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAS362242.png,http://www.nfl.com/player/antoinecason/208/profile,1986-07-09,20
208,2011,4400,Antoine Cason,Antoine,Brandon,Cason,,ACT,DB,CB,CAS362242,00-0026167,Long Beach, CA,4832,Arizona,6-1,195,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAS362242.png,http://www.nfl.com/player/antoinecason/208/profile,1986-07-09,20
208,2012,4400,Antoine Cason,Antoine,Brandon,Cason,,ACT,DB,CB,CAS362242,00-0026167,Long Beach, CA,4832,Arizona,6-1,195,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAS362242.png,http://www.nfl.com/player/antoinecason/208/profile,1986-07-09,20
208,2013,3800,Antoine Cason,Antoine,Brandon,Cason,,ACT,DB,CB,CAS362242,00-0026167,Long Beach, CA,4832,Arizona,6-1,195,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAS362242.png,http://www.nfl.com/player/antoinecason/208/profile,1986-07-09,20
208,2014,325,Antoine Cason,Antoine,Brandon,Cason,,ACT,DB,CB,CAS362242,00-0026167,Long Beach, CA,4832,Arizona,6-1,195,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAS362242.png,http://www.nfl.com/player/antoinecason/208/profile,1986-07-09,23
210,2008,1540,Gosder Cherilus,Gosder,,Cherilus,,ACT,OL,T,CHE253467,00-0026157,,3083,Boston College,6-7,319,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHE253467.png,http://www.nfl.com/player/gosdercherilus/210/profile,1984-06-28,77
210,2009,1540,Gosder Cherilus,Gosder,,Cherilus,,ACT,OL,T,CHE253467,00-0026157,,3083,Boston College,6-7,325,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHE253467.png,http://www.nfl.com/player/gosdercherilus/210/profile,1984-06-28,77
210,2010,1540,Gosder Cherilus,Gosder,,Cherilus,,RES,OL,T,CHE253467,00-0026157,,3083,Boston College,6-7,325,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHE253467.png,http://www.nfl.com/player/gosdercherilus/210/profile,1984-06-28,77
210,2011,1540,Gosder Cherilus,Gosder,,Cherilus,,ACT,OL,OT,CHE253467,00-0026157,,3083,Boston College,6-7,325,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHE253467.png,http://www.nfl.com/player/gosdercherilus/210/profile,1984-06-28,77
210,2012,1540,Gosder Cherilus,Gosder,,Cherilus,,ACT,OL,T,CHE253467,00-0026157,,3083,Boston College,6-7,325,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHE253467.png,http://www.nfl.com/player/gosdercherilus/210/profile,1984-06-28,77
210,2013,2200,Gosder Cherilus,Gosder,,Cherilus,,ACT,OL,T,CHE253467,00-0026157,,3083,Boston College,6-7,314,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHE253467.png,http://www.nfl.com/player/gosdercherilus/210/profile,1984-06-28,78
210,2014,2200,Gosder Cherilus,Gosder,,Cherilus,,RES,OL,T,CHE253467,00-0026157,,3083,Boston College,6-7,316,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHE253467.png,http://www.nfl.com/player/gosdercherilus/210/profile,1984-06-28,78
210,2015,4900,Gosder Cherilus,Gosder,,Cherilus,,ACT,OL,T,CHE253467,00-0026157,,3083,Boston College,6-7,316,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHE253467.png,http://www.nfl.com/player/gosdercherilus/210/profile,1984-06-28,78
210,2016,4900,Gosder Cherilus,Gosder,,Cherilus,,ACT,OL,T,CHE253467,00-0026157,,3083,Boston College,6-7,316,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHE253467.png,http://www.nfl.com/player/gosdercherilus/210/profile,1984-06-28,78
212,2008,750,Dan Connor,Dan,Murphy,Connor,,RES,LB,LB,CON508718,00-0026214,Wallingford, PA,2660,Penn State,6-2,231,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CON508718.png,http://www.nfl.com/player/danconnor/212/profile,1985-11-02,57
212,2009,750,Dan Connor,Dan,Murphy,Connor,,ACT,LB,LB,CON508718,00-0026214,Wallingford, PA,2660,Penn State,6-2,231,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CON508718.png,http://www.nfl.com/player/danconnor/212/profile,1985-11-02,55
212,2010,750,Dan Connor,Dan,Murphy,Connor,,RES,LB,MLB,CON508718,00-0026214,Wallingford, PA,2660,Penn State,6-2,231,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CON508718.png,http://www.nfl.com/player/danconnor/212/profile,1985-11-02,55
212,2011,750,Dan Connor,Dan,Murphy,Connor,,ACT,LB,MLB,CON508718,00-0026214,Wallingford, PA,2660,Penn State,6-2,231,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CON508718.png,http://www.nfl.com/player/danconnor/212/profile,1985-11-02,55
212,2012,1200,Dan Connor,Dan,Murphy,Connor,,ACT,LB,ILB,CON508718,00-0026214,Wallingford, PA,2660,Penn State,6-2,241,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CON508718.png,http://www.nfl.com/player/danconnor/212/profile,1985-11-02,52
212,2013,750,Dan Connor,Dan,Murphy,Connor,,ACT,LB,ILB,CON508718,00-0026214,Wallingford, PA,2660,Penn State,6-2,241,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CON508718.png,http://www.nfl.com/player/danconnor/212/profile,1985-11-02,55
214,2008,3200,Shawn Crable,Shawn,James,Crable,,RES,LB,OLB,CRA050645,00-0026218,Massillon, OH,1839,Michigan,6-5,243,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CRA050645.png,http://www.nfl.com/player/shawncrable/214/profile,1984-12-26,98
214,2009,3200,Shawn Crable,Shawn,James,Crable,,RES,LB,OLB,CRA050645,00-0026218,Massillon, OH,1839,Michigan,6-5,243,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CRA050645.png,http://www.nfl.com/player/shawncrable/214/profile,1984-12-26,98
214,2010,3430,Shawn Crable,Shawn,James,Crable,,DEV,LB,OLB,CRA050645,00-0026218,Massillon, OH,1839,Michigan,6-5,250,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CRA050645.png,http://www.nfl.com/player/shawncrable/214/profile,1984-12-26,
216,2008,5110,Fred Davis,Fred,Martin,Davis,,ACT,TE,TE,DAV318170,00-0026188,Toledo, OH,4852,USC,6-4,257,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV318170.png,http://www.nfl.com/player/freddavis/216/profile,1986-01-15,86
216,2009,5110,Fred Davis,Fred,Martin,Davis,,ACT,TE,TE,DAV318170,00-0026188,Toledo, OH,4852,USC,6-4,257,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV318170.png,http://www.nfl.com/player/freddavis/216/profile,1986-01-15,86
216,2010,5110,Fred Davis,Fred,Martin,Davis,,ACT,TE,TE,DAV318170,00-0026188,Toledo, OH,4852,USC,6-4,255,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV318170.png,http://www.nfl.com/player/freddavis/216/profile,1986-01-15,86
216,2011,5110,Fred Davis,Fred,Martin,Davis,,SUS,TE,TE,DAV318170,00-0026188,Toledo, OH,4852,USC,6-4,258,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV318170.png,http://www.nfl.com/player/freddavis/216/profile,1986-01-15,83
216,2012,5110,Fred Davis,Fred,Martin,Davis,,RES,TE,TE,DAV318170,00-0026188,Toledo, OH,4852,USC,6-4,247,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV318170.png,http://www.nfl.com/player/freddavis/216/profile,1986-01-15,83
216,2013,5110,Fred Davis,Fred,Martin,Davis,,ACT,TE,TE,DAV318170,00-0026188,Toledo, OH,4852,USC,6-4,247,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV318170.png,http://www.nfl.com/player/freddavis/216/profile,1986-01-15,83
218,2008,2310,Glenn Dorsey,Glenn,Jamon,Dorsey,,ACT,DL,DT,DOR587585,00-0026145,Baton Rouge, LA,6373,LSU,6-1,297,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOR587585.png,http://www.nfl.com/player/glenndorsey/218/profile,1985-08-01,72
218,2009,2310,Glenn Dorsey,Glenn,Jamon,Dorsey,,ACT,DL,DE,DOR587585,00-0026145,Baton Rouge, LA,6373,LSU,6-1,297,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOR587585.png,http://www.nfl.com/player/glenndorsey/218/profile,1985-08-01,72
218,2010,2310,Glenn Dorsey,Glenn,Jamon,Dorsey,,ACT,DL,DE,DOR587585,00-0026145,Baton Rouge, LA,6373,LSU,6-1,297,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOR587585.png,http://www.nfl.com/player/glenndorsey/218/profile,1985-08-01,72
218,2011,2310,Glenn Dorsey,Glenn,Jamon,Dorsey,,ACT,DL,DE,DOR587585,00-0026145,Baton Rouge, LA,6373,LSU,6-1,297,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOR587585.png,http://www.nfl.com/player/glenndorsey/218/profile,1985-08-01,72
218,2012,2310,Glenn Dorsey,Glenn,Jamon,Dorsey,,RES,DL,DE,DOR587585,00-0026145,Baton Rouge, LA,6373,LSU,6-1,297,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOR587585.png,http://www.nfl.com/player/glenndorsey/218/profile,1985-08-01,72
218,2013,4500,Glenn Dorsey,Glenn,Jamon,Dorsey,,ACT,DL,NT,DOR587585,00-0026145,Baton Rouge, LA,6373,LSU,6-1,297,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOR587585.png,http://www.nfl.com/player/glenndorsey/218/profile,1985-08-01,90
218,2014,4500,Glenn Dorsey,Glenn,Jamon,Dorsey,,RES,DL,NT,DOR587585,00-0026145,Baton Rouge, LA,6373,LSU,6-1,297,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOR587585.png,http://www.nfl.com/player/glenndorsey/218/profile,1985-08-01,90
218,2015,4500,Glenn Dorsey,Glenn,Jamon,Dorsey,,RES,DL,DE,DOR587585,00-0026145,Baton Rouge, LA,6373,LSU,6-1,297,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOR587585.png,http://www.nfl.com/player/glenndorsey/218/profile,1985-08-01,90
218,2016,4500,Glenn Dorsey,Glenn,Jamon,Dorsey,,ACT,DL,NT,DOR587585,00-0026145,Baton Rouge, LA,6373,LSU,6-1,297,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOR587585.png,http://www.nfl.com/player/glenndorsey/218/profile,1985-08-01,90
220,2008,3800,Early Doucet,Early,Joseph,Doucet,III,ACT,WR,WR,DOU051723,00-0026221,New Iberia, LA,6373,LSU,6-0,211,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOU051723.png,http://www.nfl.com/player/earlydoucet/220/profile,1985-10-28,80
220,2009,3800,Early Doucet,Early,Joseph,Doucet,III,ACT,WR,WR,DOU051723,00-0026221,New Iberia, LA,6373,LSU,6-0,212,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOU051723.png,http://www.nfl.com/player/earlydoucet/220/profile,1985-10-28,80
220,2010,3800,Early Doucet,Early,Joseph,Doucet,III,RES,WR,WR,DOU051723,00-0026221,New Iberia, LA,6373,LSU,6-0,212,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOU051723.png,http://www.nfl.com/player/earlydoucet/220/profile,1985-10-28,80
220,2011,3800,Early Doucet,Early,Joseph,Doucet,III,ACT,WR,WR,DOU051723,00-0026221,New Iberia, LA,6373,LSU,6-0,212,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOU051723.png,http://www.nfl.com/player/earlydoucet/220/profile,1985-10-28,85
